client_name,client_email,client_phone,external_code,invoice_reference,invoice_amount,invoice_issued_at,invoice_due_at
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0001,750000.00,2026-09-12,2026-11-11
Entreprise Cliente 12,finance12@client.tg,,CL012,FAC0002,75000.00,2026-09-08,2026-10-23
Entreprise Cliente 60,finance60@client.tg,,CL060,FAC0003,350000.00,2026-08-08,2026-10-07
Entreprise Cliente 48,finance48@client.tg,,CL048,FAC0004,75000.00,2026-08-29,2026-09-13
Entreprise Cliente 6,finance6@client.tg,,CL006,FAC0005,500000.00,2026-09-13,2026-10-28
Entreprise Cliente 3,finance3@client.tg,,CL003,FAC0006,500000.00,2026-08-15,2026-10-14
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0007,1200000.00,2026-09-01,2026-10-01
Entreprise Cliente 36,finance36@client.tg,,CL036,FAC0008,350000.00,2026-08-18,2026-10-17
Entreprise Cliente 5,finance5@client.tg,,CL005,FAC0009,250000.00,2026-08-05,2026-09-04
Entreprise Cliente 47,finance47@client.tg,,CL047,FAC0010,500000.00,2026-09-06,2026-10-06
Entreprise Cliente 44,finance44@client.tg,,CL044,FAC0011,5000000.00,2026-08-13,2026-08-28
Entreprise Cliente 28,finance28@client.tg,,CL028,FAC0012,75000.00,2026-09-13,2026-11-12
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0013,5000000.00,2026-08-28,2026-10-27
Entreprise Cliente 34,finance34@client.tg,,CL034,FAC0014,75000.00,2026-08-30,2026-10-29
Entreprise Cliente 59,finance59@client.tg,,CL059,FAC0015,1200000.00,2026-08-15,2026-08-30
Entreprise Cliente 1,finance1@client.tg,,CL001,FAC0016,1200000.00,2026-09-04,2026-11-03
Entreprise Cliente 57,finance57@client.tg,,CL057,FAC0017,75000.00,2026-08-13,2026-09-27
Entreprise Cliente 59,finance59@client.tg,,CL059,FAC0018,350000.00,2026-09-14,2026-11-13
Entreprise Cliente 5,finance5@client.tg,,CL005,FAC0019,120000.00,2026-08-11,2026-09-25
Entreprise Cliente 52,finance52@client.tg,,CL052,FAC0020,75000.00,2026-08-02,2026-10-01
Entreprise Cliente 16,finance16@client.tg,,CL016,FAC0021,120000.00,2026-09-07,2026-10-22
Entreprise Cliente 54,finance54@client.tg,,CL054,FAC0022,75000.00,2026-08-31,2026-09-30
Entreprise Cliente 50,finance50@client.tg,,CL050,FAC0023,2500000.00,2026-08-22,2026-09-21
Entreprise Cliente 8,finance8@client.tg,,CL008,FAC0024,120000.00,2026-09-10,2026-11-09
Entreprise Cliente 21,finance21@client.tg,,CL021,FAC0025,120000.00,2026-08-04,2026-08-19
Entreprise Cliente 4,finance4@client.tg,,CL004,FAC0026,500000.00,2026-08-09,2026-08-24
Entreprise Cliente 7,finance7@client.tg,,CL007,FAC0027,75000.00,2026-09-09,2026-11-08
Entreprise Cliente 7,finance7@client.tg,,CL007,FAC0028,1200000.00,2026-08-19,2026-10-18
Entreprise Cliente 25,finance25@client.tg,,CL025,FAC0029,2500000.00,2026-08-15,2026-08-30
Entreprise Cliente 42,finance42@client.tg,,CL042,FAC0030,75000.00,2026-08-28,2026-09-12
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0031,120000.00,2026-08-30,2026-10-14
Entreprise Cliente 46,finance46@client.tg,,CL046,FAC0032,120000.00,2026-08-07,2026-08-22
Entreprise Cliente 9,finance9@client.tg,,CL009,FAC0033,5000000.00,2026-09-07,2026-10-07
Entreprise Cliente 31,finance31@client.tg,,CL031,FAC0034,2500000.00,2026-08-17,2026-10-01
Entreprise Cliente 52,finance52@client.tg,,CL052,FAC0035,75000.00,2026-08-12,2026-09-11
Entreprise Cliente 28,finance28@client.tg,,CL028,FAC0036,5000000.00,2026-08-09,2026-09-23
Entreprise Cliente 38,finance38@client.tg,,CL038,FAC0037,5000000.00,2026-09-11,2026-10-26
Entreprise Cliente 20,finance20@client.tg,,CL020,FAC0038,750000.00,2026-08-10,2026-09-09
Entreprise Cliente 34,finance34@client.tg,,CL034,FAC0039,250000.00,2026-08-19,2026-10-03
Entreprise Cliente 23,finance23@client.tg,,CL023,FAC0040,350000.00,2026-08-16,2026-08-31
Entreprise Cliente 22,finance22@client.tg,,CL022,FAC0041,350000.00,2026-08-13,2026-09-12
Entreprise Cliente 45,finance45@client.tg,,CL045,FAC0042,750000.00,2026-09-14,2026-11-13
Entreprise Cliente 20,finance20@client.tg,,CL020,FAC0043,1200000.00,2026-09-07,2026-10-22
Entreprise Cliente 30,finance30@client.tg,,CL030,FAC0044,75000.00,2026-08-22,2026-09-21
Entreprise Cliente 15,finance15@client.tg,,CL015,FAC0045,350000.00,2026-08-15,2026-08-30
Entreprise Cliente 31,finance31@client.tg,,CL031,FAC0046,750000.00,2026-09-09,2026-10-09
Entreprise Cliente 53,finance53@client.tg,,CL053,FAC0047,75000.00,2026-08-14,2026-10-13
Entreprise Cliente 2,finance2@client.tg,,CL002,FAC0048,5000000.00,2026-08-01,2026-08-16
Entreprise Cliente 29,finance29@client.tg,,CL029,FAC0049,350000.00,2026-08-08,2026-09-07
Entreprise Cliente 2,finance2@client.tg,,CL002,FAC0050,350000.00,2026-09-10,2026-10-25
Entreprise Cliente 57,finance57@client.tg,,CL057,FAC0051,500000.00,2026-08-19,2026-09-18
Entreprise Cliente 13,finance13@client.tg,,CL013,FAC0052,75000.00,2026-08-22,2026-09-21
Entreprise Cliente 54,finance54@client.tg,,CL054,FAC0053,250000.00,2026-08-17,2026-09-01
Entreprise Cliente 60,finance60@client.tg,,CL060,FAC0054,350000.00,2026-09-11,2026-09-26
Entreprise Cliente 24,finance24@client.tg,,CL024,FAC0055,750000.00,2026-08-20,2026-10-19
Entreprise Cliente 5,finance5@client.tg,,CL005,FAC0056,120000.00,2026-09-03,2026-11-02
Entreprise Cliente 35,finance35@client.tg,,CL035,FAC0057,1200000.00,2026-08-09,2026-09-08
Entreprise Cliente 16,finance16@client.tg,,CL016,FAC0058,75000.00,2026-08-21,2026-10-20
Entreprise Cliente 21,finance21@client.tg,,CL021,FAC0059,350000.00,2026-09-04,2026-10-19
Entreprise Cliente 55,finance55@client.tg,,CL055,FAC0060,5000000.00,2026-09-10,2026-10-25
Entreprise Cliente 51,finance51@client.tg,,CL051,FAC0061,120000.00,2026-08-14,2026-08-29
Entreprise Cliente 49,finance49@client.tg,,CL049,FAC0062,5000000.00,2026-08-11,2026-10-10
Entreprise Cliente 21,finance21@client.tg,,CL021,FAC0063,750000.00,2026-09-01,2026-10-31
Entreprise Cliente 18,finance18@client.tg,,CL018,FAC0064,1200000.00,2026-09-15,2026-11-14
Entreprise Cliente 15,finance15@client.tg,,CL015,FAC0065,350000.00,2026-09-10,2026-09-25
Entreprise Cliente 20,finance20@client.tg,,CL020,FAC0066,1200000.00,2026-08-16,2026-10-15
Entreprise Cliente 17,finance17@client.tg,,CL017,FAC0067,5000000.00,2026-09-06,2026-10-06
Entreprise Cliente 19,finance19@client.tg,,CL019,FAC0068,2500000.00,2026-08-06,2026-09-05
Entreprise Cliente 33,finance33@client.tg,,CL033,FAC0069,750000.00,2026-08-15,2026-08-30
Entreprise Cliente 28,finance28@client.tg,,CL028,FAC0070,1200000.00,2026-08-28,2026-10-27
Entreprise Cliente 18,finance18@client.tg,,CL018,FAC0071,1200000.00,2026-08-24,2026-10-23
Entreprise Cliente 15,finance15@client.tg,,CL015,FAC0072,500000.00,2026-08-02,2026-09-01
Entreprise Cliente 58,finance58@client.tg,,CL058,FAC0073,120000.00,2026-09-11,2026-09-26
Entreprise Cliente 60,finance60@client.tg,,CL060,FAC0074,350000.00,2026-08-19,2026-09-03
Entreprise Cliente 24,finance24@client.tg,,CL024,FAC0075,75000.00,2026-08-07,2026-08-22
Entreprise Cliente 22,finance22@client.tg,,CL022,FAC0076,500000.00,2026-08-22,2026-09-21
Entreprise Cliente 46,finance46@client.tg,,CL046,FAC0077,250000.00,2026-09-13,2026-10-28
Entreprise Cliente 53,finance53@client.tg,,CL053,FAC0078,750000.00,2026-08-01,2026-09-15
Entreprise Cliente 49,finance49@client.tg,,CL049,FAC0079,75000.00,2026-08-26,2026-10-25
Entreprise Cliente 15,finance15@client.tg,,CL015,FAC0080,350000.00,2026-08-31,2026-09-30
Entreprise Cliente 34,finance34@client.tg,,CL034,FAC0081,5000000.00,2026-08-14,2026-10-13
Entreprise Cliente 21,finance21@client.tg,,CL021,FAC0082,350000.00,2026-08-30,2026-10-14
Entreprise Cliente 29,finance29@client.tg,,CL029,FAC0083,2500000.00,2026-09-14,2026-11-13
Entreprise Cliente 56,finance56@client.tg,,CL056,FAC0084,250000.00,2026-08-24,2026-09-23
Entreprise Cliente 52,finance52@client.tg,,CL052,FAC0085,750000.00,2026-08-20,2026-09-04
Entreprise Cliente 28,finance28@client.tg,,CL028,FAC0086,1200000.00,2026-08-22,2026-09-21
Entreprise Cliente 38,finance38@client.tg,,CL038,FAC0087,75000.00,2026-09-14,2026-10-29
Entreprise Cliente 10,finance10@client.tg,,CL010,FAC0088,750000.00,2026-09-06,2026-09-21
Entreprise Cliente 5,finance5@client.tg,,CL005,FAC0089,5000000.00,2026-08-25,2026-09-24
Entreprise Cliente 7,finance7@client.tg,,CL007,FAC0090,750000.00,2026-08-25,2026-09-24
Entreprise Cliente 58,finance58@client.tg,,CL058,FAC0091,500000.00,2026-09-06,2026-11-05
Entreprise Cliente 36,finance36@client.tg,,CL036,FAC0092,250000.00,2026-08-11,2026-08-26
Entreprise Cliente 12,finance12@client.tg,,CL012,FAC0093,350000.00,2026-09-14,2026-11-13
Entreprise Cliente 15,finance15@client.tg,,CL015,FAC0094,500000.00,2026-08-25,2026-10-09
Entreprise Cliente 34,finance34@client.tg,,CL034,FAC0095,75000.00,2026-08-30,2026-09-14
Entreprise Cliente 26,finance26@client.tg,,CL026,FAC0096,250000.00,2026-08-11,2026-09-25
Entreprise Cliente 27,finance27@client.tg,,CL027,FAC0097,2500000.00,2026-08-08,2026-09-07
Entreprise Cliente 9,finance9@client.tg,,CL009,FAC0098,350000.00,2026-08-05,2026-10-04
